pore_id,pore_volume_m3,pore_radius_m,pore_shape_factor,pore_clay_volume
356,7.088301e-14,1.484709e-05,0.02851044,0.0
357,6.462669e-14,1.546336e-05,0.02846669,0.0
358,5.940211e-14,1.561574e-05,0.03282037,0.0
359,5.775571e-14,1.578683e-05,0.04950491,0.0
360,3.944774e-14,1.525718e-05,0.03092302,0.0
361,5.246528e-14,1.504521e-05,0.04548194,0.0
362,4.407962e-14,1.521925e-05,0.02512019,0.0
363,8.56567e-14,1.525617e-05,0.03739434,0.0
364,3.51671e-14,1.506774e-05,0.03235161,0.0
365,9.744493e-14,1.60221e-05,0.03452415,0.0
366,7.026835e-14,1.514425e-05,0.02365482,0.0
367,5.277261e-14,1.508374e-05,0.0170783,0.0
368,7.871987e-14,1.714898e-05,0.03562577,0.0
369,8.034432e-14,1.572139e-05,0.03390725,0.0
370,3.832819e-14,1.572209e-05,0.04470631,0.0
371,6.686579e-14,1.537255e-05,0.04524963,0.0
372,3.000838e-14,1.528869e-05,0.03185945,0.0
373,4.377229e-14,1.466875e-05,0.03102836,0.0
374,7.061958e-14,1.809309e-05,0.02709511,0.0
375,4.370643e-14,1.547406e-05,0.02288408,0.0
376,5.472634e-14,1.556058e-05,0.03538916,0.0
377,4.087462e-14,1.524794e-05,0.04115489,0.0
378,4.838221e-14,1.574359e-05,0.02737611,0.0
379,4.873344e-14,1.572829e-05,0.03041347,0.0
380,7.909306e-14,1.546053e-05,0.03642551,0.0
381,7.143181e-14,1.479959e-05,0.04459798,0.0
382,8.306637e-14,1.43631e-05,0.03763224,0.0
383,8.339565e-14,1.549201e-05,0.03913324,0.0
384,1.006719e-13,1.555702e-05,0.01853676,0.0
385,5.722886e-14,1.395439e-05,0.03206569,0.0
386,4.932614e-14,1.419738e-05,0.02367426,0.0
387,7.013664e-14,1.429651e-05,0.02030928,0.0
388,2.287398e-14,1.509308e-05,0.03652401,0.0
389,2.236909e-14,1.666592e-05,0.03970431,0.0
390,9.904742e-14,1.509309e-05,0.02237575,0.0
391,2.30935e-14,1.403421e-05,0.04417464,0.0
392,4.875539e-14,1.468995e-05,0.04701804,0.0
393,3.275238e-14,1.523912e-05,0.03481311,0.0
394,2.882298e-14,1.401004e-05,0.05399389,0.0
395,8.390054e-14,1.430767e-05,0.04166364,0.0
396,5.031398e-14,1.508209e-05,0.03253419,0.0
397,6.53511e-14,1.405947e-05,0.02223551,0.0
398,5.180672e-14,1.386428e-05,0.02410618,0.0
399,2.882298e-14,1.507677e-05,0.02722432,0.0
400,6.023629e-14,1.533202e-05,0.03805947,0.0
401,1.083331e-13,1.454302e-05,0.03936774,0.0
402,3.683546e-14,1.423954e-05,0.03448775,0.0
403,4.118195e-14,1.501999e-05,0.03306692,0.0
404,1.462003e-14,1.480806e-05,0.03429009,0.0
405,2.41033e-14,1.480071e-05,0.03154436,0.0
406,9.505216e-15,1.459747e-05,0.03515752,0.0
407,4.517722e-14,1.506689e-05,0.02796762,0.0
408,2.155686e-14,1.452048e-05,0.03255154,0.0
409,7.031226e-14,1.506289e-05,0.03337645,0.0
410,2.568384e-14,1.335778e-05,0.04111813,0.0
411,5.286042e-14,1.590153e-05,0.03159703,0.0
412,5.472634e-14,1.399833e-05,0.02583739,0.0
413,5.189453e-14,1.341586e-05,0.03020892,0.0
414,7.762227e-14,1.419477e-05,0.04084607,0.0
415,4.50455e-14,1.496225e-05,0.0297254,0.0
416,4.260883e-14,1.415779e-05,0.02496724,0.0
417,3.139136e-14,1.530644e-05,0.05795283,0.0
418,1.274094e-13,1.440306e-05,0.05064378,0.0
419,3.158893e-14,1.471944e-05,0.0250661,0.0
420,3.655008e-14,1.389778e-05,0.02065817,0.0
421,4.662605e-14,1.311178e-05,0.0703793,0.0
422,2.155686e-14,1.376852e-05,0.04576702,0.0
423,5.536294e-14,1.358207e-05,0.038722,0.0
424,5.93143e-14,1.281587e-05,0.03042498,0.0
425,6.052166e-14,1.387754e-05,0.0378261,0.0
426,1.042281e-13,1.421338e-05,0.03297302,0.0
427,5.580198e-14,1.390343e-05,0.03136831,0.0
428,6.69975e-14,1.331313e-05,0.02574536,0.0
429,3.363046e-14,1.306517e-05,0.02777191,0.0
430,3.953555e-14,1.41401e-05,0.05899826,0.0
431,4.544064e-14,1.39769e-05,0.04550043,0.0
432,6.620723e-14,1.359858e-05,0.01766864,0.0
433,3.194016e-14,1.256751e-05,0.03153997,0.0
434,4.647238e-14,1.446382e-05,0.01892517,0.0
435,5.929235e-14,1.304852e-05,0.02785,0.0
436,6.458278e-14,1.448394e-05,0.03446206,0.0
437,4.216979e-14,1.377249e-05,0.04104524,0.0
438,5.345312e-14,1.386141e-05,0.03993366,0.0
439,2.162272e-14,1.306139e-05,0.04929906,0.0
440,4.16649e-14,1.418284e-05,0.03737484,0.0
441,7.79735e-14,1.388869e-05,0.02262237,0.0
442,4.245517e-14,1.367171e-05,0.03390142,0.0
443,2.834003e-14,1.283747e-05,0.0230612,0.0
444,2.370816e-14,1.392283e-05,0.02324733,0.0
445,1.907629e-14,1.464149e-05,0.0306272,0.0
446,9.571072e-15,1.352818e-05,0.03038406,0.0
447,1.782502e-14,1.357514e-05,0.041887,0.0
448,3.279629e-14,1.317365e-05,0.02290588,0.0
449,4.458451e-14,1.373549e-05,0.05579601,0.0
450,4.23015e-14,1.366227e-05,0.04145113,0.0
451,2.785709e-14,1.298763e-05,0.02813362,0.0
452,2.632045e-14,1.303049e-05,0.03243782,0.0
